"序号","单词","分类","音标","词性","中文","词源/记忆技巧","级别","常考题型","常见搭配","易混淆","例句","真题考法"
"11","bake","烹饪","/beɪk/","v.","烘焙；烤（用烤箱）","Bake 和 batch（一批）是亲戚，一批批面包在烤箱里 bake！记住：cake（蛋糕）要 bake，不是 boil——""bake"" 和 ""cake"" 都有 a 和 e，都在烤箱里！","KET 核心词汇","听力 Part 4（烹饪/烘焙节目）；阅读 Part 4（食谱）","bake a cake（烤蛋糕）；bake bread（烤面包）；bake in the oven（用烤箱烤）；baking time（烘烤时间）","bake（烤箱烘焙）vs roast（烤肉）——bake 多用于面包、蛋糕，roast 多用于肉","My mum likes to bake cookies on Sundays. 我妈妈喜欢周日烤饼干。","听烹饪步骤判断用什么方法，或在阅读 recipe 中选 bake / boil / fry"
"12","fry","烹饪","/fraɪ/","v.","煎；炸","Fry 来自法语，意思是""在油里煎""。French fries（薯条）就是 fry 的杰作！想象油锅里""滋啦滋啦""——fry 和 fire（火）都有 f，都要用火和油。","KET 核心词汇","听力 Part 4（做饭场景）；阅读 Part 4（食谱/厨房对话）","fry an egg（煎鸡蛋）；fry fish（炸鱼）；deep fry（油炸）；stir-fry（炒）","fry（油煎/炸）vs grill（烧烤）——fry 用平底锅和油，grill 用烤架、少油","Fry the onions in a little oil. 用一点油把洋葱煎一下。","听厨师说明选 cooking method，或在阅读中区分 fry 和 boil"
"13","grill","烹饪","/ɡrɪl/","v. / n.","烧烤；烤架","Grill 来自法语 gril，就是""烤架""的意思。夏天户外 BBQ，肉放在 grill 上，""grill grill"" 冒着香味。grill 既是动词""烧烤""，也是名词""烤架""，一物两用！","KET 核心词汇","听力 Part 2（BBQ/野餐）；阅读 Part 4（烹饪方式）","grill chicken（烤鸡）；on the grill（在烤架上）；grill vegetables（烤蔬菜）；indoor grill（室内烤架）","grill（烧烤）vs roast（烤箱烤）——grill 是明火/烤架，roast 多在 closed oven 里","We grilled sausages in the garden. 我们在花园里烤了香肠。","听野餐对话判断怎么做饭，或在阅读 cooking methods 表格中匹配 grill"
"14","roast","烹饪","/rəʊst/","v. / n. / adj.","烤（肉类）；烤肉","Roast 来自古法语，专门指""在火上转着烤""。Roast turkey（烤火鸡）是感恩节大菜！记：roast 的 o 像火炉的口，a 像肉，st 像 smell tasty（好香）！","KET 核心词汇","听力 Part 4（节日大餐）；阅读 Part 4（食谱/节日饮食）","roast chicken（烤鸡）；roast beef（烤牛肉）；roast potatoes（烤土豆）；Sunday roast（周日烤肉大餐）","roast（烤肉类）vs toast（烤面包片）——roast 是大块肉，toast 是薄面包片","We had roast chicken for Sunday lunch. 我们周日午餐吃了烤鸡。","听节日聚餐对话选主菜，或在阅读 Christmas dinner 描述中出现 roast"
"15","toast","烹饪","/təʊst/","n. / v.","吐司；烤（面包片）","Toast 来自拉丁语 tostus（烤过的）。把 bread 放进 toaster（烤面包机），""叮！"" 一声，toast 就做好啦。toast 既是名词""吐司""，也是动词""烤面包""——早餐必备！","KET 核心词汇","听力 Part 2（早餐场景）；阅读 Part 3（日常饮食）","a slice of toast（一片吐司）；make toast（烤面包）；toast and butter（吐司加黄油）；French toast（法式吐司）","toast（吐司/烤面包片）vs bread（面包）——bread 是未烤的，toast 是烤过的、脆脆的","I like toast with jam for breakfast. 我早餐喜欢吃涂果酱的吐司。","听早餐对话判断吃了什么，或在阅读 breakfast food 列表中选 toast"
"16","cook","餐厅","/kʊk/","n. / v.","厨师；烹饪；煮","Cook 来自拉丁语 coquus，就是""厨师""的意思。做名词是 cook（厨师），做动词是 cook（做饭）——""厨师 cook 在 kitchen 里 cook""！和 cookie（饼干）是亲戚，都是厨房里的好词。","KET 核心词汇","听力 Part 2（职业/家庭场景）；阅读 Part 4（人物介绍）；写作 Part 6（描述家人）","cook dinner（做晚饭）；cook a meal（做饭）；good cook（好厨师）；learn to cook（学做饭）","cook（厨师/做饭）vs cooker（厨灶/炊具）——cook 是人或动作，cooker 是机器（英式英语）","My dad is a good cook. 我爸爸做饭很好吃。","听对话判断某人的 job 或 hobby，或在阅读人物介绍中选 cook"
"17","waiter","餐厅","/ˈweɪtə/（英）  /ˈweɪtər/（美）","n.","服务员（男）","Waiter = wait（等待）+ er（表示人）。在餐厅里，waiter 等着为你服务——""wait"" 加 ""er"" 就是""等着服务你的人""！男服务员叫 waiter，女服务员叫 waitress。","KET 核心词汇","听力 Part 2（餐厅点餐）；阅读 Part 3（职业/场所对话）","call the waiter（叫服务员）；friendly waiter（友好的服务员）；waiter service（餐桌服务）","waiter（男服务员）vs waitress（女服务员）——waiter 指男性，waitress 指女性","The waiter brought us the menu. 服务员给我们拿来了菜单。","听餐厅对话判断谁说话（顾客还是 waiter），或在阅读 restaurant scene 中理解角色"
"18","waitress","餐厅","/ˈweɪtrəs/","n.","女服务员","Waitress = waiter + ess（表示女性的后缀）。ess 像""女士""——waitress 就是""女服务员""。和 actor/actress 一样，成对记忆更轻松！","KET 核心词汇","听力 Part 2（餐厅场景）；阅读 Part 3（职业描述）","a young waitress（年轻的女服务员）；ask the waitress（问女服务员）；waitress in a café（咖啡馆女服务员）","waitress（女服务员）vs waiter（男服务员）——看词尾 -ess 表示女性","The waitress took our order. 女服务员记下了我们的点单。","听对话判断服务员性别或职业，或在阅读 café story 中识别 waitress"
"19","fridge","厨房用具","/frɪdʒ/","n.","冰箱","Fridge 是 refrigerator（冰箱）的缩写，人们觉得太长了就简化为 fridge。想象 fridge 里冷冰冰的——""fr-"" 像 cold（冷），""-idge"" 像 bridge（桥），冷气桥帮你保鲜食物！","KET 核心词汇","听力 Part 2（厨房/购物）；阅读 Part 3（家居描述）","in the fridge（在冰箱里）；put milk in the fridge（把牛奶放进冰箱）；fridge door（冰箱门）；empty the fridge（清空冰箱）","fridge（冰箱）vs freezer（冷冻室）——fridge 冷藏，freezer 冷冻（更冷）","Put the juice in the fridge. 把果汁放进冰箱。","听对话判断食物放哪里，或在阅读 kitchen description 中选 fridge"
"20","cupboard","厨房用具","/ˈkʌbəd/","n.","碗柜；橱柜","Cupboard = cup（杯子）+ board（板）。以前人们把 cup 放在 board（板子/架子上），就成了 cupboard！现在泛指放碗碟、食物的橱柜，cup 还在词里提醒你：这里放杯碗！","KET 核心词汇","听力 Part 2（找东西/厨房）；阅读 Part 3（家居布局）","kitchen cupboard（厨房碗柜）；in the cupboard（在柜子里）；cupboard door（柜门）；food cupboard（食物柜）","cupboard（橱柜）vs wardrobe（衣柜）——cupboard 在厨房放碗碟，wardrobe 在卧室放衣服","The plates are in the cupboard. 盘子在碗柜里。","听对话找物品位置，或在阅读描述 house 时理解 cupboard 在哪里"
"21","bottle","厨房用具","/ˈbɒtl/（英）  /ˈbɑːtl/（美）","n.","瓶子","Bottle 来自古法语，和 bot（桶）有关。想象 bottle 肚子圆圆的，像个小 bot（机器人）站着——""bottle"" 里藏着 ""bot""，装水装 juice 都靠它！","KET 核心词汇","听力 Part 2（购物/野餐）；阅读 Part 3（环保/回收话题）","a bottle of water（一瓶水）；plastic bottle（塑料瓶）；bottle opener（开瓶器）；empty bottle（空瓶子）","bottle（瓶子）vs can（罐头/罐）——bottle 是玻璃或塑料瓶装，can 是金属罐","Please recycle the plastic bottle. 请回收这个塑料瓶。","听购物对话判断容器类型，或在阅读 recycling 文章中选 bottle"
"22","cup","厨房用具","/kʌp/","n.","杯子","Cup 是英语里很古老的词，和""捧在手心""的形状有关——cup 圆圆的，正好 cup 在 hand（手）里！a cup of tea（一杯茶）是英国人最爱说的。","KET 核心词汇","听力 Part 2（喝茶/咖啡）；阅读 Part 3（餐具词汇）","a cup of tea（一杯茶）；coffee cup（咖啡杯）；paper cup（纸杯）；cup and saucer（杯碟）","cup（杯子，有柄）vs glass（玻璃杯）——cup 多指带柄的瓷杯，glass 指透明玻璃器皿","Would you like a cup of tea? 你想来杯茶吗？","听待客对话选饮品容器，或在阅读 table setting 描述中出现 cup"
"23","bowl","厨房用具","/bəʊl/","n.","碗","Bowl 来自古英语，形状像 ball（球）切一半——圆圆的 bowl 装 soup（汤）和 rice（饭）。bowl 和 ball 开头都是 b，都是圆圆的！","KET 核心词汇","听力 Part 2（用餐场景）；阅读 Part 3（厨房用品）","a bowl of soup（一碗汤）；rice bowl（饭碗）；mixing bowl（搅拌碗）；fruit bowl（水果碗）","bowl（碗）vs plate（盘子）——bowl 深、装汤饭，plate 浅、装菜","She ate a bowl of noodles. 她吃了一碗面。","听用餐对话判断餐具，或在阅读 recipe 中选 bowl 作为量词"
"24","can","厨房用具","/kæn/（名词罐头）  /kæn/（情态动词能）","n.","罐头；金属罐","Can 作名词指""罐头""，来自""装东西的金属容器""。a can of cola 就是一罐可乐。注意：can 也是""能""（I can swim），但这里学的是名词——听句子看是""能""还是""罐""！","KET 核心词汇","听力 Part 2（购物）；阅读 Part 3（食品包装）","a can of cola（一罐可乐）；tin can（锡罐）；open a can（开罐头）；canned food（罐头食品）","can（罐头）vs bottle（瓶）——can 是金属罐，bottle 是玻璃瓶/塑料瓶","He bought a can of beans. 他买了一罐豆子。","听购物清单选包装形式，或在阅读 supermarket 对话中区分 can 和 bottle"
"25","glass","厨房用具","/ɡlɑːs/（英）  /ɡlæs/（美）","n.","玻璃杯；玻璃","Glass 来自日耳曼语，意思是""闪亮透明的东西""。a glass of water 就是""一杯水""（用玻璃杯盛）。glass 既是材料""玻璃""，也是器皿""玻璃杯""——透明看得见，别摔哦！","KET 核心词汇","听力 Part 2（餐厅/家庭）；阅读 Part 3（餐具与安全）","a glass of juice（一杯果汁）；wine glass（酒杯）；glass bottle（玻璃瓶）；broken glass（碎玻璃）","glass（玻璃杯）vs cup（瓷杯）——glass 透明易碎，cup 常是不透明的陶瓷杯","Can I have a glass of water, please? 请给我一杯水好吗？","听点餐对话选容器，或在阅读中区分 a glass of 与 a cup of"
"26","plate","餐具","/pleɪt/","n.","盘子","Plate 来自拉丁语，原意是""扁平的东西""。想象一个圆盘子像一块""平（plate sounds like 平）""板，上面摆着香喷喷的饭菜——又平又圆，就是 plate！","KET 核心词汇","听力 Part 2（餐厅/家庭用餐场景）；阅读 Part 3（厨房用品描述）","a clean plate（一个干净的盘子）；on the plate（在盘子上）；empty plate（空盘子）；paper plate（纸盘）","plate（盘子）vs dish（碟子/菜）——plate 通常指装主餐的大圆盘，dish 可以指小碟，也可以指一道菜","Put the salad on your plate. 把沙拉放到你的盘子上。","听对话判断""桌上有什么餐具""，或在阅读中根据描述选出正确的厨房用品"
"27","dish","餐具","/dɪʃ/","n.","碟；菜","Dish 来自古英语，意思是""盘子""。它有两个意思：小碟子和一道菜。记住：dish 像""碟""——""的士""司机也爱吃一道好 dish（菜）！","KET 核心词汇","听力 Part 2（点餐/做菜）；阅读 Part 3（菜单/食谱）","wash the dishes（洗碗）；main dish（主菜）；a dish of fruit（一碟水果）；local dish（当地特色菜）","dish（碟/菜）vs plate（盘）——dish 可指""一道菜""（如 a Chinese dish），plate 主要指餐具","Fish is my favourite dish. 鱼是我最喜欢的一道菜。","听录音选""他们点了哪道菜""，或在菜单阅读题中判断 main dish 是什么"
"28","fork","餐具","/fɔːk/（英）  /fɔːrk/（美）","n.","叉子","Fork 原意是""分叉""，因为叉子头部像字母 Y 一样分开。吃饭用 fork 叉食物，路也有 fork（岔路口）——都是""分叉""的意思！","KET 核心词汇","听力 Part 2（餐厅/野餐场景）；阅读 Part 3（餐具列表）","knife and fork（刀叉）；a set of cutlery（一套餐具）；pick up with a fork（用叉子叉起来）；plastic fork（塑料叉）","fork（叉）vs spoon（勺）——fork 有尖齿用来叉固体食物，spoon 是圆勺用来舀","Can you pass me the fork, please? 请把叉子递给我好吗？","听对话判断""还需要什么餐具""，或在阅读表格中匹配餐具名称"
"29","knife","餐具","/naɪf/","n.","刀","Knife 里的 k 不发音！这是英语里的""沉默 k""——写的时候有 k，读的时候悄悄藏起来。记住口诀：""knife 的 k 像害羞的小孩，只写字不出声！""","KET 核心词汇","听力 Part 2（用餐/厨房场景）；阅读 Part 3（安全提示/餐具说明）","knife and fork（刀叉）；sharp knife（锋利的刀）；bread knife（面包刀）；use a knife（用刀）","knife（刀）vs fork（叉）——knife 是刀，k 不发音读 /naɪf/；fork 是叉子","Be careful with that knife. 用那把刀要小心。","拼写题考 knife 的 k 不发音；听力中判断""用什么切面包"""
"30","slice","餐具","/slaɪs/","n. / v.","一片；切片","Slice 来自古英语""切开""的意思。做名词是""一片""（a slice of bread），做动词是""切""（slice the cake）。想象用刀""唰""地一划，切出薄薄一片——slice！","KET 核心词汇","听力 Part 2（做三明治/分蛋糕）；阅读 Part 3（食谱步骤）","a slice of bread（一片面包）；a slice of pizza（一片披萨）；slice the cake（切蛋糕）；thin/thick slice（薄/厚片）","slice（片）vs piece（块/件）——slice 强调切出来的薄片，piece 泛指一块（a piece of cake）","I'd like a slice of cheese, please. 请给我来一片奶酪。","听录音选""要几片面包""，或在食谱阅读中排列切食物的正确步骤"
"31","hungry","用餐","/ˈhʌŋɡri/","adj.","饥饿的","Hungry 来自 hunger（饥饿）+ y（形容词尾巴）。肚子""咕咕""叫的时候，就是 hungry！它和 thirsty（口渴）是黄金搭档——一个管肚子，一个管嘴巴。","KET 核心词汇","听力 Part 2（点餐/野餐）；阅读 Part 3（日常对话）；写作 Part 6（描述感受）","feel hungry（觉得饿）；get hungry（饿了）；hungry for（渴望）；I'm hungry.（我饿了。）","hungry（饿）vs thirsty（渴）——hungry 是肚子饿想吃东西，thirsty 是嘴巴干想喝水","I'm hungry. Can we have lunch now? 我饿了。我们现在可以吃午饭吗？","听力中 hungry 和 thirsty 常一起出现，考""孩子想要什么""；阅读判断人物感受"
"32","thirsty","用餐","/ˈθɜːsti/（英）  /ˈθɜːrsti/（美）","adj.","口渴的","Thirsty 来自 thirst（口渴）+ y。th 要咬舌头发 /θ/，像轻轻吹风。跑步后嘴巴干干的——""I'm thirsty!"" 快喝水吧！和 hungry 配对记：饿了吃，渴了喝。","KET 核心词汇","听力 Part 2（运动后/炎热天气场景）；阅读 Part 3（日常对话）","feel thirsty（觉得渴）；get thirsty（渴了）；I'm thirsty.（我渴了。）；thirsty work（让人口渴的活）","thirsty（渴）vs hungry（饿）——thirsty 想喝水，hungry 想吃饭；thirty（三十）发音相近但意思完全不同","After running, I was very thirsty. 跑完步后，我非常口渴。","听对话判断""他们需要什么——食物还是饮料""，hungry/thirsty 是高频考点"
"33","jam","用餐","/dʒæm/","n.","果酱","Jam 做果酱讲时，来自""挤压水果""的意思——把水果 jam（挤）在一起做成酱。早餐涂 jam 在面包上，甜甜黏黏的。另：jam 还有""交通堵塞""的意思（traffic jam）！","KET 核心词汇","听力 Part 2（早餐/购物场景）；阅读 Part 3（食物清单）","strawberry jam（草莓酱）；bread and jam（面包加果酱）；a jar of jam（一罐果酱）；traffic jam（交通堵塞）","jam（果酱）vs juice（果汁）——jam 是稠稠的酱，juice 是流动的汁","I like bread with jam for breakfast. 我早餐喜欢吃涂果酱的面包。","听录音选""早餐涂了什么""，或在购物清单阅读中找出 jam"
"34","cafeteria","用餐","/ˌkæfəˈtɪəriə/（英）  /ˌkæfəˈtɪriə/（美）","n.","自助餐厅","Cafeteria 来自 cafe（咖啡馆）+ teria（场所）。在学校或公司里，自己拿托盘选食物的地方就是 cafeteria。记住：café + teria = 像 café 一样，但自己选餐！","KET 核心词汇","听力 Part 2（学校生活）；阅读 Part 4（校园场景描述）","school cafeteria（学校食堂）；eat in the cafeteria（在食堂吃饭）；cafeteria food（食堂饭菜）；cafeteria worker（食堂工作人员）","cafeteria（自助餐厅）vs restaurant（餐厅）——cafeteria 自己取餐，restaurant 通常有服务员点餐","We have lunch in the school cafeteria. 我们在学校食堂吃午饭。","听对话判断""在哪里吃饭""，或阅读描述学校设施时选出 cafeteria"
"35","meal","用餐","/miːl/","n.","一餐；饭","Meal 来自古英语""时间、场合""——到了吃饭时间就有一 meal（一餐）。breakfast、lunch、dinner 都是不同的 meal。记住：meal 像""米""——每一 meal 都要吃米/饭！","KET 核心词汇","听力 Part 2（家庭用餐）；阅读 Part 3（日常作息）；写作 Part 6（描述一天）","have a meal（吃一顿饭）；main meal（主餐）；cook a meal（做饭）；three meals a day（一日三餐）","meal（一餐）vs food（食物）——meal 强调一顿饭的时间，food 泛指所有吃的","Dinner is my favourite meal of the day. 晚餐是我一天中最喜欢的一餐。","听录音判断""哪一餐在讨论""，或阅读中选择 have a meal 的正确搭配"
"36","picnic","用餐","/ˈpɪknɪk/","n. / v.","野餐","Picnic 来自法语，原意是""每人带一点食物""。pic 像 picture（图画）——在公园草地上吃饭，就像一幅美丽的画！去 picnic 要带 blanket（毯子）和 basket（篮子）。","KET 核心词汇","听力 Part 2（周末计划/户外活动）；阅读 Part 4（邀请信/活动安排）","have a picnic（去野餐）；go on a picnic（去野餐）；picnic basket（野餐篮）；family picnic（家庭野餐）","picnic（野餐）vs party（派对）——picnic 在户外吃，party 多在室内庆祝","Let's have a picnic in the park this Sunday. 这周日我们去公园野餐吧。","听对话判断""周末活动是什么""，或阅读邀请信中找出 picnic 的时间地点"
"37","breakfast","用餐","/ˈbrekfəst/","n.","早餐","Breakfast = break（打破）+ fast（禁食）！晚上睡觉时不吃东西叫 fast（禁食），早上""打破""禁食的第一餐就是 breakfast——太有道理了！","KET 核心词汇","听力 Part 2（日常作息）；阅读 Part 3（时间表）；写作 Part 6（描述早晨）","have breakfast（吃早餐）；eat breakfast（吃早餐）；for breakfast（当早餐）；big breakfast（丰盛的早餐）","breakfast（早餐）vs lunch（午餐）vs dinner（晚餐）——按一天时间顺序记：breakfast → lunch → dinner","I usually have cereal for breakfast. 我早餐通常吃麦片。","听录音判断""几点吃早餐""或""早餐吃什么""，时间表阅读是高频场景"
"38","lunch","用餐","/lʌntʃ/","n.","午餐","Lunch 来自""一块面包""的古词，中午简单吃一点就是 lunch。记住顺序：太阳在头顶（中午）——lunch！和 brunch（早午餐 = breakfast + lunch）是亲戚。","KET 核心词汇","听力 Part 2（学校/工作场景）；阅读 Part 3（日常对话）","have lunch（吃午饭）；eat lunch（吃午饭）；school lunch（学校午餐）；lunch break（午休时间）","lunch（午餐）vs brunch（早午餐）——lunch 是中午，brunch 是早上偏晚的一餐","What do you want for lunch today? 今天午餐你想吃什么？","听对话选""lunch time 吃什么""，或阅读判断 school lunch 菜单内容"
"39","dinner","用餐","/ˈdɪnə/（英）  /ˈdɪnər/（美）","n.","晚餐；正餐","Dinner 来自""dine（用餐）""。在英式英语里 dinner 常指晚上那顿正餐；在美国有时也指午餐。记住：dinner 是一天里最重要、最丰盛的一 meal！","KET 核心词汇","听力 Part 2（家庭晚餐）；阅读 Part 3（日常对话）；写作 Part 6（描述家庭活动）","have dinner（吃晚餐）；eat dinner（吃晚餐）；cook dinner（做晚餐）；family dinner（家庭晚餐）","dinner（晚餐/正餐）vs supper（晚饭）——dinner 更正式，supper 更口语，意思相近","We have dinner together at six o'clock. 我们六点钟一起吃晚餐。","听录音判断""晚饭谁做饭""或""几点吃 dinner"""
"40","supper","用餐","/ˈsʌpə/（英）  /ˈsʌpər/（美）","n.","晚饭；夜宵","Supper 来自""sup（喝）+ er""——古代最后一顿常配汤喝。现在 supper 和 dinner 意思差不多，都指晚上那顿饭。supper 听起来更家常、更温馨。","KET 核心词汇","听力 Part 2（家庭场景）；阅读 Part 3（日常对话）","have supper（吃晚饭）；after supper（晚饭后）；light supper（简单的晚饭）；supper time（晚饭时间）","supper（晚饭）vs dinner（晚餐）——意思相近，supper 更口语、更轻；dinner 可指更正式的正餐","Mum is cooking supper for us. 妈妈正在给我们做晚饭。","阅读日常对话中判断""晚上吃什么""，supper 和 dinner 可能互换出现"
"41","snack","用餐","/snæk/","n.","零食；小吃","Snack 来自""咬一口""的意思——snack 不是正餐，是两餐之间""snack snack""快速咬几口的小食物。饼干、水果、酸奶都是 great snacks！","KET 核心词汇","听力 Part 2（学校/购物）；阅读 Part 3（健康饮食习惯）","have a snack（吃点零食）；snack time（零食时间）；healthy snack（健康零食）；snack bar（小吃店）","snack（零食）vs meal（正餐）——snack 量少、两餐之间吃，meal 是一顿完整的饭","I had a snack after school. 放学后我吃了点零食。","听对话判断""between meals 吃什么""，或阅读区分 healthy/unhealthy snacks"
"42","dessert","用餐","/dɪˈzɜːt/（英）  /dɪˈzɜːrt/（美）","n.","甜品；甜点","Dessert 有两个 s，像""甜甜的两次""！饭后吃的 dessert（甜品）和 desert（沙漠）只差一个 s：dessert 是甜的，desert 是干的沙漠。口诀：""甜品两个 s，沙漠一个 s！""","KET 核心词汇","听力 Part 2（餐厅点餐）；阅读 Part 3（菜单）；拼写题","have dessert（吃甜品）；for dessert（作为甜点）；dessert menu（甜点菜单）；ice cream for dessert（甜点吃冰淇淋）","dessert（甜品，两个 s）vs desert（沙漠，一个 s）——dessert 读 /dɪˈzɜːt/，desert 读 /ˈdezət/（名词）","We had ice cream for dessert. 我们甜点吃了冰淇淋。","拼写题高频考点：dessert vs desert；听力选""饭后吃什么"""
